City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
445,Nawabganj,BD,84.45,broken clouds,24.5911,88.271,দা সফ্‌ট আইটি
447,Labuhan,ID,83.88,overcast clouds,-6.8844,112.2051,DoubleFAG
450,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
454,Rio Branco,BR,77.61,clear sky,-9.9747,-67.81,Hotel Guapindaia Bosque
456,Banda Aceh,ID,84.29,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
457,Cartagena,CO,82.02,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
465,Madang,PG,86.27,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
470,Mabaruma,GY,75.06,few clouds,8.2,-59.7833,Monty Brooms Guest House
472,Tulsipur,NP,84.31,broken clouds,28.131,82.2973,Ekanta Hotel Pvt. Ltd
475,Uribia,CO,85.57,overcast clouds,11.7139,-72.266,Hotel Uribia
477,San Patricio,US,80.46,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
481,Keti Bandar,PK,83.21,clear sky,24.1447,67.4497,Haji laloo memon house
489,Pascagoula,US,77.05,clear sky,30.3658,-88.5561,Regency Inn
491,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
493,Kailua,US,82.38,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
499,Karratha,AU,85.37,broken clouds,-20.7377,116.8463,ibis Styles Karratha
501,Kavaratti,IN,84.94,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
505,Tura,IN,75.69,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
508,Takoradi,GH,79.7,overcast clouds,4.8845,-1.7554,Raybow International Hotel
509,Pasni,PK,82.15,clear sky,25.2631,63.471,Kashmiri Hotal
510,Ixtapa,MX,76.23,scattered clouds,20.7,-105.2,hotel la terminal
514,Nhulunbuy,AU,84.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
516,Tual,ID,83.71,broken clouds,-5.6667,132.75,Grand Vilia Hotel
518,Ladario,BR,81.64,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
521,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
522,Tres Picos,MX,82.96,broken clouds,15.8667,-93.5333,Tres picos Chiapas
526,Kolokani,ML,86.09,scattered clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
535,Sibolga,ID,77.97,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
537,Iturama,BR,75.36,overcast clouds,-19.7281,-50.1956,República DominaCana
542,Pemangkat,ID,84.45,overcast clouds,1.1667,108.9667,Ramah Kost KITA
544,Soe,ID,79.86,overcast clouds,-9.8607,124.284,Dena Hotel
547,Funadhoo,MV,85.84,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
550,Purbalingga,ID,84.96,broken clouds,-7.3881,109.3639,SPOT ON 2106 Residence Flamboyan
553,Monywa,MM,89.31,clear sky,22.1167,95.1333,Monywa Hotel
555,Dickinson,US,79.12,few clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
559,Noumea,NC,85.98,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
560,Luanda,AO,75.07,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
561,Bougouni,ML,83.41,scattered clouds,11.417,-7.479,Non Stop
564,Samarai,PG,82.9,few clouds,-10.6167,150.6667,Nuli Sapi
565,Muli,MV,84.74,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
574,Kota Kinabalu,MY,87.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
575,Estelle,US,78.78,overcast clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
576,Aswan,EG,79.16,clear sky,24.0934,32.907,Nuba Nile
578,Marawi,PH,80.42,overcast clouds,7.9986,124.2928,Derogongan Residence
581,San Jose De Guanipa,VE,81.12,few clouds,8.8872,-64.1651,HOTEL 283 SUITES
585,Sinnamary,GF,78.06,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
590,Am Timan,TD,85.46,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
595,Mount Isa,AU,83.97,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
599,Lunglei,IN,79.93,clear sky,22.8833,92.7333,Hotel Elite
608,Salinopolis,BR,77.27,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
613,Myitkyina,MM,75.67,broken clouds,25.3833,97.4,Shwe Phyu Hotel
614,Kopargaon,IN,81.0,clear sky,19.8833,74.4833,Chanakya Mandal
620,Indramayu,ID,84.6,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
623,Baturaja,ID,82.71,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
625,Betul,IN,86.92,few clouds,21.9153,77.8961,STARiHotel Betul MP
627,Dunmore Town,BS,75.4,clear sky,25.5,-76.65,Coral Sands Hotel
639,Negombo,LK,84.25,light rain,7.2083,79.8358,Hotel Sunset Beach
642,Muisne,EC,76.1,overcast clouds,0.6,-80.0333,Quinta Samay
643,Bentiu,SS,83.26,broken clouds,9.2333,29.8333,Mandela hôtel
645,Moussoro,TD,86.68,clear sky,13.6408,16.4901,Hôtel Salama
650,Tulum,MX,77.36,clear sky,20.2167,-87.4667,Kin Ha Tulum
652,Champerico,GT,84.43,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
653,Tautira,PF,79.7,light rain,-17.7333,-149.15,Pension Oaoa
654,Harindanga,IN,85.48,overcast clouds,22.0383,88.3214,Hasanur Builders
655,Ratnagiri,IN,82.18,clear sky,16.9833,73.3,Hotel Landmark
660,Amuntai,ID,89.4,few clouds,-2.4177,115.2494,Hotel Balqis
663,Yanam,IN,86.77,scattered clouds,16.7333,82.2167,The Regency Hotel
665,Soyo,AO,77.31,overcast clouds,-6.1349,12.3689,Hotel Mpampa
666,Callaguip,PH,86.02,broken clouds,18.0714,120.4867,Pangil Beach Resort
670,Santander Jimenez,MX,78.12,clear sky,24.2167,-98.4667,Papas inc
674,Puerto Escondido,MX,82.78,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
681,Luganville,VU,83.23,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
686,Gidam,IN,85.15,clear sky,18.9833,81.4,Dhanshree Lodge And DormItory
687,Akyab,MM,83.98,few clouds,20.15,92.9,Hotel Memory
688,Victoria Point,AU,80.44,few clouds,-27.5833,153.3,Bay Retreat Motel
